GabrijelaSetnikar: Naslov3. Zalozba2 2004, ISBN 4-78-4-0-78084464 | 10
GabrijelaSetnikar: Naslov9. Zalozba3 2001, ISBN 5-6-473-8806711-6 | 10
GabrijelaSetnikar: Naslov15. Revija8 95(74): 182-197 (2011) | 8
GabrijelaSetnikar: Naslov51. Revija21 84(37): 413-429 (2014) | 8
GabrijelaSetnikar: Naslov72. Revija29 39(54): 180-199 (2005) | 8
GabrijelaSetnikar: Naslov18. Revija9 4(91): 177-197 (2014) | 4
GabrijelaSetnikar: Naslov61. Revija24 86(30): 460-464 (2014) | 4
DarjaZajc, GabrijelaSetnikar: Naslov97. Revija36 77(97): 274-281 (2005) | 4
MonikaSetnikar, RozalijaJelenc, GabrijelaSetnikar: Naslov16. Zalozba6 2001, ISBN 333-31002-23-7-25 | 3+1/3
JanezGolob, UlaKobal, GabrijelaSetnikar: Naslov27. Zalozba9 2012, ISBN 272-5-3-1151747-1 | 3+1/3
ZdenkaBevk, GabrijelaSetnikar, UlaNovak: Naslov33. Zalozba10 2016, ISBN 243-8905-2-9-1519 | 3+1/3
GabrijelaSetnikar, MonikaAntolin, VidPirc: Naslov58. Zalozba19 2010, ISBN 1-097053-1-671-31 | 3+1/3
TadejIvnik, GabrijelaSetnikar, CvetkaErmenc: Naslov62. Revija25 86(99): 110-130 (2010) | 3+1/3
FranciSetnikar, GabrijelaSetnikar, HildaGolob: Naslov73. Zalozba23 2002, ISBN 4-9-7-7655715-947 | 3+1/3
BojanOstan, GabrijelaSetnikar, KarelZajc: Naslov81. Zalozba27 2014, ISBN 9652-234-8781-9-4 | 3+1/3
GabrijelaSetnikar, CvetkoBevk, UrbanBevk: Naslov86. Zalozba30 2017, ISBN 27-014-002297-2-2 | 3+1/3
RomanZajc, GabrijelaSetnikar: Naslov39. Revija16 16(66): 197-198 (2010) | 3
GabrijelaSetnikar: Naslov68. Konferenca21: 443-459 | 3
GabrijelaSetnikar, FranciAntolin: Naslov70. Revija28 60(48): 378-382 (2012) | 3
RomanUrh, PavelLeban, EvaUrh, GabrijelaSetnikar: Naslov17. Zalozba7 2009, ISBN 427-4496-2-1548-4 | 2+1/2
JasnaBevk, DarjaAntolin, GabrijelaSetnikar, DarjaHanc, PavelPirc: Naslov22. Zalozba8 2011, ISBN 3817-5-3844-14-44 | 2
GabrijelaSetnikar, AntonIvnik: Naslov49. Revija20 78(56): 109-125 (2001) | 2
ZoranTominc, GabrijelaUrh, JasnaRavnikar, ZoranVencelj, GabrijelaSetnikar: Naslov54. Zalozba16 2005, ISBN 5813-612993-7-5-3 | 2
FranciUrh, GabrijelaSetnikar, NikoOstan, LjuboLeban: Naslov60. Revija23 51(46): 397-414 (2001) | 2
